INFO 2024-10-29 15:07:16,897 autoreload Watching for file changes with StatReloader
DEBUG 2024-10-29 15:07:16,898 autoreload Waiting for apps ready_event.
DEBUG 2024-10-29 15:07:17,025 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-10-29 15:07:17,032 autoreload Watching dir /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/drf_spectacular/templates with glob **/*.
DEBUG 2024-10-29 15:07:17,032 autoreload Watching dir /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/rest_framework/templates with glob **/*.
DEBUG 2024-10-29 15:07:17,032 autoreload Watching dir /Users/anastasiaintyakova/Library/Mobile Documents/com~apple~CloudDocs/proga/Rhythmo-BackEnd/rhythmo_project/player/templates with glob **/*.
DEBUG 2024-10-29 15:07:17,032 autoreload Watching dir /Users/anastasiaintyakova/Library/Mobile Documents/com~apple~CloudDocs/proga/Rhythmo-BackEnd/rhythmo_project/locale with glob **/*.mo.
DEBUG 2024-10-29 15:07:17,032 autoreload Watching dir /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2024-10-29 15:07:17,032 autoreload Watching dir /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/drf_spectacular/locale with glob **/*.mo.
DEBUG 2024-10-29 15:07:17,032 autoreload Watching dir /Users/anastasiaintyakova/Library/Mobile Documents/com~apple~CloudDocs/proga/Rhythmo-BackEnd/rhythmo_project/player/locale with glob **/*.mo.
DEBUG 2024-10-29 15:07:17,051 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-10-29 15:07:17,052 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
